,country_code,co,o3,pm10,pm25,so2
0,AD,70.85308056872037,77.42424242424242,31.570114942528736,,0.5825471698113207
1,AE,,0.03962857142857143,,76.03454231433506,
2,AF,,,,24.0,
3,AR,0.41255733944954126,,22.887614678899084,18.1,
4,AT,231.13638908715976,85.30788811920482,15.820250925316428,8.945113569847924,2.1288316448567652
5,AU,279.9069297043274,0.013374206490186735,551.7336170255911,5.264174282954377,0.0013692183761365448
6,BA,676.4545454545455,25.561764705882354,62.52,18.623076923076923,32.565714285714286
7,BD,,,,60.759274193548386,
8,BE,209.92516421291054,49.806263858093125,19.6640986680687,11.45853400893164,1.7766639276910434
9,BG,442.81679672984023,50.43759287925696,19.693200335113623,8.370665154950869,12.093272043010751
10,BH,,0.024,,73.2429718875502,
11,BR,0.4925925925925926,35.08960209119954,28.439280018227386,14.346301670719273,3.7307187397440105
12,CA,0.15031638894747942,0.03245952472266019,8.162158713957643,4.5577319873537085,0.00037510356255178126
13,CH,216.375117370892,49.882222934232715,13.312314886731391,9.526094835680752,0.7010556701030928
14,CI,,,,13.493212669683258,
15,CL,11399.933461538461,39.54601219512195,62.08046467825997,41.92994509131605,19.35155879140555
16,CN,648.7157434402333,129.8226433430515,41.43780369290573,25.989269746646794,7.429057337220603
17,CO,0.8233687846153847,0.010918239892857142,47.688076413043476,17.690126576595745,0.002630343883333333
18,CR,,,,11.416666666666666,
19,CW,,0.019,,6.0,
20,CY,224.77525982581966,86.92756197435898,,,2.4901619044714587
21,CZ,281.61913238161884,78.2912610250298,19.40594871439942,13.611963259326044,4.784980859674068
22,DE,219.77634918989835,50.20017371782695,14.970589087797778,9.756536872478652,2.623714297431851
23,DK,163.03091738469337,73.9129307715767,19.177220394736842,8.012322274881516,0.5034516129032258
24,DZ,,,,16.039823008849556,
25,EC,0.8442819714285713,0.0,0.0,0.0,12.987976256
26,EE,187.88257142857145,46.280833333333334,12.691665,7.312107142857142,0.4085949941176471
27,ES,296.9105457160838,59.576294767735135,19.295985302291115,9.068832978723405,3.5223924510041136
28,ET,,,,25.384615384615383,
29,FI,,71.02657113899414,14.81881163566942,3.5758208393238498,1.7663754222222223
30,FR,210.05283783783784,68.02769757216593,17.778589743589745,9.060784588754924,3.241324575147644
31,GB,648.9194499017682,59.71799979923206,17.055637541317488,8.757610502904278,3.012320546904671
32,GH,,,58.14818181818182,14.861042084168336,
33,GI,470.0,84.2,,,1.5
34,GN,,,,48.0,
35,GR,523.8136324417601,69.45604855588113,31.280903854674346,13.399641577060931,6.215400100654253
36,GT,,0.021874493927125503,,19.745526838966203,
37,HK,567.1672817863074,60.81171151541562,19.658344155844155,12.13700977573318,4.3092539925618025
38,HR,185.82554517133957,75.26259673258814,18.84493198771391,11.245843045843046,5.7009622406639
39,HU,526.0520721363637,59.926548506638206,18.474189011399943,12.614601087155346,3.6379159635239144
40,ID,,,,26.021484375,
41,IE,172.3272411231829,64.48425720607459,12.614294492948718,7.568328645938603,2.809887835050879
42,IL,0.4113636363636363,0.01642994350282486,,18.85,0.001113529411764706
43,IN,809.8015096589749,37.38329513155809,150.1225918321492,65.86189289323003,206.72061901258593
44,IQ,,,,104.33236151603498,
45,IS,23.5632,,9.811711904761905,5.1661425,3.325103224137931
46,IT,416.01905516780374,75.70319986661193,19.5026321997923,17.30112402675732,3.4112023514172938
47,JO,,,,12.0,
48,KE,,,5.5,2.65,
49,KG,,,,8.125,
50,KW,,,,98.5400457665904,
51,KZ,,,,6.0,
52,LA,,,,22.613832853025936,
53,LK,,,,22.59036144578313,
54,LT,226.31174719441668,58.9202989392668,19.88952468162706,8.705529946728111,5.837023281666666
55,LU,226.24347826086955,73.62185929648241,24.767023718439173,10.578490566037736,2.7471186440677964
56,LV,0.21,73.28275381483871,16.064796904900064,6.1086111117333335,5.393933633609577
57,ME,290.1955434288313,53.97698833510074,24.33666666666667,12.230555555555556,3.790594594594595
58,MK,234.54093021354805,43.72873266850921,26.91572218760358,9.310587218788628,3.138924271514393
59,ML,,,,34.0,
60,MM,,0.012,,13.288461538461538,
61,MN,151.5,28.25,181.9777777777778,22.04951923076923,39.55072463768116
62,MT,294.5110979381443,87.91419846889953,25.006371304347827,12.49305583126551,0.4407134491017964
63,MX,4.064915537023497,0.0427699819551765,55.97351775532364,23.6734756126706,0.004551982100683669
64,NG,,,,8.149999999999999,
65,NL,0.24571223776223777,63.27434110912784,19.919957526794267,10.700019568178043,0.9675372875476933
66,NO,153.80634318181816,68.61860305846967,14.991138675700013,5.117164406043493,15.907760806290565
67,NP,,0.03441025641025641,,41.37365010799136,
68,PE,1175.2966992882561,1.831829174852652,75.4106064618644,39.87726043099495,6.133965144318597
69,PH,,,,9.7,
70,PK,,,,69.00826446280992,
71,PL,376.54305154204104,68.23112043221806,23.861777790476427,12.732698061607287,5.272761131532787
72,PT,219.02257609352952,75.90731133462737,18.284254751060153,6.011617231638419,5.059590491880442
73,RO,,60.64523475406311,26.80076239288321,9.731442864720641,13.925390098182568
74,RS,298.9775699440448,79.52737777626193,20.473075176837728,12.074813765603329,8.655347979680696
75,RU,326.7391304347826,,27.0,,4.284210526315789
76,RW,,,100.2,50.6,
77,SA,,,,23.0,
78,SD,,,,111.9073359073359,
79,SE,352.36679253456225,68.48290696755784,16.042179535768067,5.027305936664785,1.3485714222222223
80,SG,,,,282.9,
81,SI,,,17.73835715020047,,
82,SK,580.7021369606005,74.37719781890284,18.96009122745701,13.105450754295292,10.915000382561676
83,TD,,,,70.9650872817955,
84,TH,0.652719651425735,0.023427592660673104,37.04307295987425,18.503240417622173,0.0023539396773439324
85,TJ,,,,36.907630522088354,
86,TM,,,,17.90495867768595,
87,TR,1101.3795005675368,47.296179018286814,95.85582089552238,,76.40528497409328
88,TW,0.3498089171974522,0.02797225806451613,25.031446540880502,11.251572327044025,0.0024672955974842765
89,UG,,,,38.51063829787234,
90,US,0.23460898683878723,0.03619598592720631,26.410466994685116,6.468227580080074,0.0006549538425075658
91,UZ,,,,28.10655737704918,
92,VN,,,,26.8625,
93,XK,383.5,59.2329375,22.8599375,20.299465648854962,20.4715625
94,ZA,0.747326143004469,0.020323783226119677,40.27532480270061,22.661500299907303,0.00667357947845805
